RespId,educ,race,gender,income_cat,voter_category
470001,College,White,Female,$75-125k,always
470002,College,White,Female,$125k or more,always
470003,College,White,Male,$125k or more,sporadic
470007,Some college,Black,Female,$40-75k,sporadic
480008,High school or less,White,Male,$40-75k,always
480009,High school or less,White,Female,$40-75k,rarely/never
480010,High school or less,White,Female,$125k or more,always
470008,Some college,Other/Mixed,Female,$75-125k,always
470010,College,White,Male,$125k or more,always
470011,Some college,White,Male,$125k or more,always
470013,College,White,Male,$75-125k,sporadic
470016,College,White,Female,$125k or more,sporadic
480020,College,White,Male,$40-75k,rarely/never
470017,Some college,White,Male,$125k or more,sporadic
470018,High school or less,White,Female,$40-75k,always
470019,High school or less,White,Female,$75-125k,sporadic
470022,Some college,White,Female,Less than $40k,always
470025,College,White,Female,$125k or more,always
470027,Some college,White,Male,$75-125k,always
470028,Some college,White,Male,Less than $40k,always
470029,Some college,Other/Mixed,Male,Less than $40k,rarely/never
470030,Some college,White,Male,$40-75k,always
470031,College,Black,Male,$75-125k,sporadic
470033,High school or less,White,Male,Less than $40k,sporadic
470034,College,White,Female,$75-125k,sporadic
470035,High school or less,White,Female,Less than $40k,always
470036,High school or less,Black,Female,Less than $40k,rarely/never
470037,Some college,White,Female,$75-125k,sporadic
470038,College,White,Male,$40-75k,always
470039,High school or less,White,Female,Less than $40k,always
470040,College,White,Male,$125k or more,always
470042,Some college,White,Male,$40-75k,always
470043,Some college,Hispanic,Male,$40-75k,rarely/never
470044,College,White,Male,$75-125k,always
470045,High school or less,White,Male,$40-75k,sporadic
470046,High school or less,Other/Mixed,Male,$75-125k,sporadic
480053,High school or less,Black,Female,Less than $40k,sporadic
470049,High school or less,White,Female,$75-125k,sporadic
470050,High school or less,White,Female,Less than $40k,always
480056,Some college,Black,Male,$40-75k,sporadic
470051,High school or less,White,Male,$40-75k,rarely/never
470052,Some college,Other/Mixed,Female,$75-125k,sporadic
470053,Some college,White,Male,$125k or more,always
470056,College,White,Female,$125k or more,always
470057,College,White,Male,$40-75k,always
470058,Some college,White,Female,$40-75k,always
470059,Some college,White,Female,$40-75k,always
470061,Some college,Black,Female,$40-75k,always
470062,College,White,Male,$75-125k,always
470064,Some college,White,Female,$75-125k,always
470065,High school or less,White,Male,Less than $40k,sporadic
470067,Some college,White,Male,$125k or more,sporadic
470068,College,Other/Mixed,Female,$75-125k,always
470070,Some college,White,Female,$40-75k,sporadic
470071,College,White,Female,$125k or more,sporadic
470072,College,White,Female,$40-75k,always
470073,High school or less,White,Male,$40-75k,sporadic
470074,College,White,Female,$75-125k,always
480081,High school or less,White,Female,$40-75k,always
470075,College,White,Female,$75-125k,always
470077,High school or less,White,Female,$75-125k,rarely/never
470079,Some college,White,Female,$125k or more,always
470080,Some college,White,Female,$75-125k,rarely/never
470082,College,White,Male,$125k or more,sporadic
470087,Some college,White,Male,Less than $40k,rarely/never
470088,Some college,White,Female,$125k or more,sporadic
470089,Some college,Other/Mixed,Male,$125k or more,rarely/never
470090,High school or less,White,Female,Less than $40k,rarely/never
470092,College,Other/Mixed,Male,$125k or more,rarely/never
470094,College,Black,Male,$40-75k,always
470096,Some college,Other/Mixed,Female,$75-125k,sporadic
470097,College,Other/Mixed,Male,$40-75k,sporadic
470098,College,White,Female,$40-75k,rarely/never
470100,College,White,Male,Less than $40k,sporadic
470101,College,Other/Mixed,Male,$125k or more,rarely/never
470102,High school or less,White,Male,$40-75k,rarely/never
470103,College,Black,Male,$125k or more,sporadic
470104,High school or less,White,Male,$75-125k,always
470106,Some college,White,Male,Less than $40k,rarely/never
470107,College,White,Male,$125k or more,rarely/never
470108,High school or less,Black,Male,$40-75k,sporadic
470109,High school or less,White,Male,Less than $40k,rarely/never
470111,College,White,Female,$75-125k,always
470112,High school or less,Hispanic,Female,$75-125k,rarely/never
470113,College,White,Male,$125k or more,always
470115,High school or less,White,Female,$75-125k,always
470116,College,White,Female,$125k or more,sporadic
470117,Some college,Other/Mixed,Female,$40-75k,always
470118,High school or less,White,Female,Less than $40k,sporadic
470119,Some college,Black,Male,$75-125k,always
480127,Some college,Black,Female,Less than $40k,always
470120,High school or less,White,Female,$40-75k,sporadic
470121,College,White,Female,$125k or more,always
470122,High school or less,White,Female,Less than $40k,sporadic
470125,Some college,White,Male,$40-75k,always
470126,High school or less,White,Female,$125k or more,always
470127,High school or less,White,Female,$40-75k,rarely/never
470128,College,White,Male,$125k or more,rarely/never
470131,College,Black,Male,$75-125k,rarely/never
470133,College,Hispanic,Female,$125k or more,always
470134,High school or less,White,Female,$40-75k,rarely/never
470135,Some college,White,Female,$125k or more,sporadic
470137,High school or less,White,Male,$40-75k,rarely/never
470138,High school or less,Black,Male,Less than $40k,always
470139,Some college,Black,Female,$40-75k,always
470140,Some college,White,Female,Less than $40k,sporadic
470141,College,White,Male,$75-125k,sporadic
470142,College,White,Male,$125k or more,always
480152,High school or less,Black,Male,$125k or more,sporadic
470143,High school or less,White,Female,Less than $40k,sporadic
470144,College,Black,Male,$75-125k,sporadic
470145,Some college,White,Female,$125k or more,sporadic
470146,College,Black,Female,$125k or more,sporadic
470147,College,White,Female,$40-75k,always
470148,Some college,White,Male,$75-125k,always
470149,High school or less,White,Female,$125k or more,always
470151,College,Hispanic,Female,$40-75k,always
470152,College,White,Male,$75-125k,always
470154,Some college,Black,Female,$75-125k,always
470158,Some college,White,Female,$125k or more,always
470159,College,White,Male,$125k or more,sporadic
470160,College,White,Female,$125k or more,sporadic
470162,College,White,Female,Less than $40k,sporadic
470163,College,White,Male,$75-125k,rarely/never
470164,High school or less,White,Female,$75-125k,always
470165,College,Hispanic,Male,$75-125k,sporadic
470167,College,White,Male,Less than $40k,always
